Final,I1,I2,I3,I4,I5,I6,I7
On Time,366,518.7,295.8,221.625,597.9,447.4125,305.1375
On Time,336,462,266.4,202.5,526.8,404.55,271.65
On Time,348,483,274.8,210.15,561,422.775,286.125
On Time,360,499.8,273.6,206.1,538.8,421.65,294.15
On Time,321,441,255.6,191.25,509.4,381.825,250.875
On Time,300,441,247.2,189,499.2,378,254.4
On Time,372,506.1,294.6,215.775,580.5,446.2875,299.9625
On Time,339,462,262.8,198.45,523.8,392.625,261.675
On Time,321,451.5,256.2,186.975,498.9,370.6875,249.525
On Time,333,462,260.4,197.55,532.2,388.575,259.125
On Time,318,455.7,256.2,208.35,539.4,393.075,261.825
On Time,333,466.2,259.2,193.5,510,380.25,259.95
On Time,426,548.1,349.2,230.85,583.8,434.925,282.975
On Time,396,543.9,310.2,234.225,617.1,461.8125,309.9375
On Time,345,487.2,273.6,207,549.6,416.7,278.1
On Time,330,474.6,280.8,207,549.6,407.7,271.5
On Time,312,436.8,264,194.4,508.8,378,254.4
On Time,336,455.7,259.8,193.725,522.3,395.6625,260.2875
On Time,345,485.1,275.4,207.675,550.5,413.4375,272.2125
On Time,330,455.7,258.6,195.075,524.1,394.5375,258.7125
On Time,333,478.8,272.4,198.45,526.2,395.325,260.175
On Time,324,474.6,260.4,207.45,543,439.65,280.95
On Time,369,501.9,281.4,216.225,581.1,435.7125,282.0375
On Time,342,478.8,271.2,203.4,619.2,435.6,279.6
On Time,318,443.1,256.2,194.175,541.8,445.95,277.05
On Time,384,535.5,301.8,231.075,629.7,470.1375,311.5125
On Time,369,518.7,295.8,215.325,584.7,420.8625,267.4875
On Time,324,462,261.6,192.6,520.8,387.9,256.5
On Time,324,453.6,255.6,192.15,510.6,382.275,253.425
On Time,372,493.5,276.6,203.625,525.9,404.2125,272.7375
On Time,360,504,283.2,207,552,423,279
On Time,354,480.9,301.8,227.475,600.9,473.7375,313.9125
On Time,327,462,259.2,196.2,537.6,401.4,265.8
On Time,384,554.4,307.2,228.6,595.2,441,304.2
On Time,330,464.1,268.2,224.55,589.8,420.975,277.125
On Time,312,436.8,255.6,192.15,513,386.775,256.125
On Time,324,449.4,258,191.25,547.8,428.625,279.675
On Time,318,445.2,259.2,191.7,519.6,391.05,259.95
On Time,351,487.2,290.4,224.1,567.6,439.65,298.95
On Time,384,497.7,289.8,222.975,733.8,507.375,309.525
On Time,474,661.5,376.2,283.275,754.5,565.5375,368.5125
On Time,327,451.5,256.2,190.575,561,399.375,265.125
On Time,363,520.8,309.6,230.4,710.4,486,379.2
On Time,399,560.7,313.8,233.775,599.7,467.8875,301.1625
On Time,348,483,268.8,221.4,576,421.2,266.4
On Time,363,510.3,289.8,216.675,579.3,447.6375,292.0125
On Time,309,434.7,246.6,183.375,506.1,380.5875,251.6625
On Time,327,451.5,261,202.275,545.7,406.2375,267.4125
On Time,360,516.6,286.8,219.15,558.6,421.875,282.225
On Time,306,443.1,253.8,201.15,525,391.275,257.625
On Time,339,485.1,283.8,207.225,545.1,402.4125,304.275
On Time,369,527.1,286.2,206.325,541.5,424.4625,283.0875
On Time,357,504,271.2,197.1,543.6,423.45,274.35
On Time,351,474.6,270,195.75,534.6,402.075,266.025
On Time,453,646.8,373.2,275.85,749.4,561.825,373.275
On Time,342,478.8,277.2,207.45,547.8,407.025,272.475
On Time,390,535.5,313.8,226.575,626.1,573.975,350.925
On Time,327,487.2,271.2,195.3,524.4,387.45,259.95
On Time,354,474.6,266.4,199.8,532.8,435.6,279.6
On Time,327,447.3,256.2,202.95,534.6,400.275,258.225
On Time,414,552.3,316.2,274.95,676.2,462.375,300.525
On Time,351,491.4,277.2,208.35,549,412.875,272.025
On Time,330,462,274.8,202.95,546.6,410.175,266.325
On Time,315,457.8,256.8,190.8,504,376.2,249
On Time,333,459.9,261,194.175,518.1,390.4875,254.9625
On Time,360,472.5,264.6,199.125,559.8,409.725,268.575
On Time,336,518.7,312.6,232.425,612.3,433.0125,299.1375
On Time,315,451.5,261,191.475,516.9,390.0375,260.8125
On Time,381,539.7,299.4,232.875,610.5,452.1375,301.9125
On Time,450,642.6,367.2,280.8,748.8,556.2,370.2
On Time,315,451.5,264.6,203.625,552.3,415.9125,264.6375
On Time,324,447.3,259.8,197.325,522.3,390.2625,262.0875
On Time,330,451.5,259.8,192.825,506.7,386.2125,253.5375
On Time,459,646.8,374.4,282.6,753.6,763.2,439.2
On Time,396,560.7,315,235.125,647.1,458.6625,306.4875
On Time,330,466.2,283.2,219.6,578.4,422.1,279.9
On Time,333,453.6,266.4,198,535.2,462.6,281.4
On Time,417,522.9,295.8,227.925,601.5,457.7625,316.9875
On Time,342,457.8,262.8,197.55,515.4,380.475,258.825
On Time,321,451.5,268.2,208.575,568.5,411.1875,273.8625
On Time,324,474.6,274.8,202.95,544.2,402.075,275.625
On Time,324,459.9,264.6,195.525,527.1,392.0625,262.6875
On Time,327,438.9,246.6,188.775,494.1,381.375,253.125
On Time,384,504,282,208.35,558.6,418.275,277.425
On Time,399,546,318,227.25,612.6,474.525,316.575
On Time,327,441,261.6,189,496.8,378.9,249.9
On Time,363,504,292.8,211.5,538.8,403.65,271.35
On Time,324,455.7,259.8,195.525,515.1,392.9625,260.5875
On Time,324,457.8,260.4,193.05,514.2,418.05,266.55
On Time,450,638.4,487.2,318.6,784.8,571.5,378.9
On Time,306,430.5,243,183.825,487.5,369.225,245.475
On Time,318,470.4,267.6,196.65,528.6,398.025,265.875
On Time,318,445.2,260.4,201.15,527.4,392.175,265.125
On Time,330,485.1,306,220.05,583.8,438.525,279.375
On Time,477,655.2,368.4,280.35,750.6,562.275,372.225
On Time,321,447.3,256.2,191.475,507.3,390.0375,263.2125
On Time,363,512.4,295.2,226.8,585.6,419.4,274.2
On Time,330,466.2,277.2,206.55,558.6,421.875,272.625
On Time,315,441,259.2,198,518.4,388.8,259.2
On Time,333,489.3,285,213.975,554.1,487.575,300.525
On Time,381,529.2,300,218.7,565.2,424.35,273.45
On Time,387,539.7,300.6,223.425,588.3,436.6125,301.5375
On Time,363,516.6,284.4,207.45,538.2,423.225,273.075
On Time,360,520.8,296.4,211.05,591,426.825,274.275
On Time,333,466.2,261.6,194.4,520.8,384.3,261.3
On Time,330,470.4,259.2,203.4,624,426.6,291
On Time,381,550.2,315.6,230.85,603,456.525,304.575
On Time,318,441,255.6,191.25,516.6,416.25,265.95
On Time,351,485.1,296.4,218.25,564.6,429.525,271.575
On Time,360,512.4,307.2,225,597.6,456.3,310.5
On Time,450,644.7,365.4,272.025,722.7,725.625,423.075
On Time,375,522.9,289.8,251.55,611.4,448.875,298.425
On Time,387,527.1,300.6,231.525,596.7,448.7625,306.7875
On Time,378,527.1,299.4,223.875,593.7,429.6375,282.4125
On Time,387,527.1,307.8,232.425,605.1,460.9125,313.2375
On Time,315,443.1,259.8,196.425,516.3,393.4125,261.9375
On Time,366,478.8,261.6,214.2,547.2,403.2,259.2
On Time,327,470.4,273.6,202.5,548.4,394.65,259.95
On Time,351,476.7,274.2,210.825,564.3,413.2125,280.5375
On Time,375,512.4,296.4,220.95,594.6,437.175,290.925
On Time,387,531.3,299.4,222.975,616.5,477.7875,306.8625
On Time,324,457.8,261.6,193.5,526.8,393.75,262.05
On Time,405,548.1,301.8,227.475,591.3,468.3375,315.7125
On Time,459,648.9,370.2,276.525,750.3,556.7625,372.7875
On Time,324,468.3,263.4,207.675,533.7,407.1375,307.425
On Time,318,455.7,257.4,193.725,515.1,389.3625,259.3875
On Time,399,543.9,317.4,236.025,621.9,465.4125,319.5375
On Time,327,512.4,285.6,209.7,565.2,444.15,280.05
On Time,405,552.3,319.8,232.425,773.4,520.425,335.475
On Time,327,462,260.4,192.15,520.2,394.875,258.825
On Time,366,529.2,306,231.75,618.6,476.775,313.725
On Time,357,493.5,275.4,208.575,551.7,413.8875,271.1625
On Time,327,466.2,253.2,189.45,499.8,374.625,246.075
On Time,378,541.8,309.6,227.7,613.2,444.15,288.45
On Time,366,501.9,279,209.925,546.3,411.8625,274.0875
On Time,369,493.5,277.8,215.775,554.1,434.5875,293.6625
On Time,426,531.3,300.6,216.225,571.5,428.5125,340.875
On Time,342,474.6,268.8,199.8,540,405.9,275.7
On Time,330,472.5,268.2,211.275,564.9,427.8375,281.8125
On Time,312,453.6,259.2,191.7,517.2,382.95,253.65
On Time,333,466.2,260.4,195.75,534.6,393.075,265.425
On Time,327,453.6,259.2,187.2,506.4,384.3,255.3
On Time,336,480.9,274.2,202.725,534.3,429.525,283.575
On Time,396,537.6,302.4,225.9,630,464.85,319.35
On Time,387,529.2,306,229.05,706.8,488.25,305.55
On Time,315,443.1,256.2,189.675,504.9,383.7375,252.7125
On Time,324,457.8,261.6,192.6,516,393.3,258.3
On Time,456,646.8,504,327.6,799.2,584.1,378.3
On Time,366,508.2,297.6,225,624,457.2,306
On Time,390,562.8,298.8,225.45,726,488.25,311.55
On Time,408,564.9,323.4,242.775,614.1,475.0875,313.1625
On Time,354,480.9,325.2,221.85,555,406.125,269.775
On Time,360,480.9,274.2,200.925,546.3,420.8625,275.8875
On Time,321,447.3,258.6,190.575,503.7,385.0875,280.725
On Time,351,480.9,276.6,205.425,552.3,410.5125,274.8375
On Time,456,651,372,279,736.8,558.9,366.3
On Time,318,466.2,260.4,195.75,520.2,385.875,260.625
On Time,330,466.2,265.2,195.75,529.8,396.675,259.425
On Time,351,480.9,274.2,206.325,555.9,415.4625,276.4875
On Time,351,483,274.8,205.65,552.6,410.625,273.675
On Time,420,529.2,289.2,217.35,561,419.175,277.725
On Time,384,504,285.6,220.5,574.8,435.15,277.05
On Time,348,476.7,271.8,204.525,539.1,407.3625,273.7875
On Time,354,550.2,302.4,220.5,582,486.9,309.9
On Time,348,497.7,282.6,207.675,533.7,414.3375,268.9125
On Time,378,527.1,298.2,215.325,560.7,524.925,320.175
On Time,432,573.3,310.2,232.425,605.1,455.5125,299.4375
On Time,465,646.8,367.2,277.2,741.6,555.3,369.9
On Time,357,495.6,296.4,210.15,551.4,404.775,281.325
On Time,330,451.5,257.4,194.625,525.9,389.8125,260.7375
On Time,351,497.7,273,197.775,544.5,421.9875,271.4625
On Time,414,718.2,358.8,241.65,615,448.425,285.075
On Time,339,480.9,274.2,234.45,583.8,427.725,276.975
On Time,363,579.6,355.2,233.1,579.6,409.95,274.65
On Time,360,489.3,286.2,221.625,583.5,429.4125,308.7375
On Time,306,426.3,246.6,182.475,485.7,376.5375,250.3125
On Time,393,546,309.6,232.2,636,470.7,306.9
On Time,306,430.5,253.8,186.075,500.1,381.9375,252.1125
On Time,357,497.7,279,209.925,555.9,417.2625,287.8875
On Time,345,485.1,279,206.325,553.5,458.325,290.775
On Time,405,546,318,243.45,629.4,462.825,311.475
On Time,342,462,264,203.4,530.4,407.7,275.1
On Time,339,480.9,274.2,205.425,547.5,410.5125,274.8375
On Time,363,497.7,295.8,222.525,606.3,446.9625,280.9875
On Time,333,455.7,262.2,195.525,512.7,384.8625,259.0875
On Time,384,512.4,285.6,217.8,585.6,428.4,291.6
On Time,345,478.8,280.8,216,559.2,432.9,281.1
On Time,303,422.1,245.4,184.725,507.9,384.8625,275.775
On Time,402,541.8,319.2,243,652.8,469.8,321
On Time,363,506.1,271.8,212.625,559.5,402.4125,281.7375
On Time,327,468.3,286.8,202.05,545.4,400.725,261.975
On Time,345,483,273.6,209.7,534,421.65,274.95
On Time,336,480.9,303.6,208.35,541.8,402.975,261.525
On Time,387,531.3,304.2,216.675,591.3,443.1375,296.5125
On Time,402,537.6,298.8,223.65,624.6,470.025,318.675
On Time,324,449.4,258,193.95,517.8,379.575,254.925
On Time,315,445.2,255.6,193.05,509.4,383.625,255.075
On Time,354,506.1,288.6,212.625,547.5,406.9125,279.6375
On Time,300,432.6,243.6,188.55,496.2,371.475,253.425
On Time,321,449.4,256.8,192.6,511.2,377.1,251.7
On Time,360,543.9,316.2,231.075,639.3,486.3375,322.9125
On Time,450,634.2,369.6,278.1,740.4,558.45,374.55
On Time,330,457.8,260.4,193.95,520.2,393.075,258.225
On Time,366,516.6,307.2,233.1,618,471.15,301.05
On Time,396,560.7,311.4,234.675,598.5,431.4375,296.2125
On Time,333,453.6,256.8,189.9,519.6,391.05,258.75
On Time,300,424.2,246,185.85,509.4,371.025,254.475
On Time,348,483,272.4,203.85,543,405.225,275.475
On Time,336,493.5,288.6,202.725,636.6,438.525,285.375
On Time,339,483,277.2,205.65,545.4,413.325,276.975
On Time,315,451.5,258.6,195.075,519.3,390.9375,263.5125
On Time,324,462,264,195.3,524.4,392.85,264.15
On Time,333,464.1,267,209.025,547.5,403.3125,273.6375
On Time,357,480.9,269.4,206.325,539.1,407.3625,268.9875
On Time,366,493.5,286.2,209.025,569.1,415.0125,279.9375
On Time,333,455.7,257.4,192.825,509.1,385.3125,261.6375
On Time,342,474.6,276,207,552,417.6,278.4
On Time,414,552.3,301.8,221.175,719.4,512.775,335.325
On Time,462,655.2,374.4,278.1,750,551.25,370.95
On Time,408,556.5,311.4,239.175,638.1,462.4875,361.125
On Time,333,459.9,279.6,200.25,521.4,391.725,262.575
On Time,315,466.2,261.6,192.6,528,406.8,262.8
On Time,369,493.5,286.2,215.325,555.9,428.0625,340.575
On Time,363,525,315.6,236.25,617.4,456.525,311.775
On Time,345,464.1,264.6,195.525,536.7,392.0625,269.8875
On Time,330,546,292.8,222.3,606,455.85,287.55
On Time,330,476.7,296.4,212.85,576.6,416.025,273.075
On Time,312,447.3,255,195.525,510.3,385.7625,258.1875
On Time,342,508.2,294,221.85,605.4,457.425,298.875
On Time,408,577.5,327,237.825,605.1,533.025,333.675
On Time,390,529.2,313.2,242.55,616.2,477.675,321.225
On Time,327,457.8,255.6,191.25,509.4,385.425,254.475
On Time,321,470.4,262.8,203.85,523.8,394.425,269.475
On Time,315,449.4,261.6,192.6,513.6,383.4,253.8
On Time,321,464.1,265.8,200.475,528.9,408.9375,273.1125
On Time,360,514.5,300.6,234.225,621.9,452.8125,302.1375
On Time,618,751.8,397.2,289.35,745.8,549.675,374.025
On Time,321,445.2,254.4,192.6,528,390.6,255
On Time,321,457.8,265.2,198.45,528.6,394.425,264.675
On Time,342,474.6,300,216,633.6,446.4,285.6
On Time,321,447.3,258.6,192.375,522.9,392.2875,263.9625
On Time,360,480.9,271.8,209.025,552.3,401.5125,269.4375
On Time,366,480.9,268.2,195.975,520.5,389.5875,258.2625
On Time,315,441,259.2,201.6,532.8,408.6,277.8
On Time,348,504,328.8,223.2,561.6,410.4,282
On Time,309,428.4,247.2,189,511.2,371.7,251.1
On Time,369,550.2,308.4,223.65,711.6,509.85,335.55
On Time,381,531.3,301.8,226.575,604.5,462.4875,305.3625
On Time,381,546,320.4,231.75,613.8,476.775,318.525
On Time,348,478.8,266.4,198,528,396,265.2
On Time,384,527.1,301.8,216.675,555.3,411.6375,292.0125
On Time,330,478.8,266.4,202.5,560.4,413.55,281.85
On Time,318,447.3,253.8,204.75,522.6,390.375,254.925
On Time,309,430.5,251.4,191.475,509.7,376.5375,253.9125
On Time,375,537.6,309.6,237.6,624,478.8,303.6
On Time,324,483,286.8,208.35,568.2,420.075,280.425
On Time,369,518.7,297,215.775,558.9,409.3875,261.2625
On Time,321,451.5,257.4,191.025,506.7,379.0125,252.3375
On Time,363,480.9,277.8,210.375,566.1,406.6875,273.5625
On Time,393,642.6,349.2,326.7,757.2,516.15,320.85
On Time,315,447.3,256.2,194.175,508.5,410.175,266.325
On Time,363,504,277.2,202.05,547.8,423.225,281.475
On Time,327,449.4,254.4,192.6,511.2,386.1,255.9
On Time,336,472.5,271.8,206.325,543.9,409.1625,306.375
On Time,360,489.3,269.4,209.025,552.3,419.5125,268.2375
On Time,309,432.6,254.4,185.4,489.6,367.2,244.8
On Time,345,483,274.8,206.55,556.2,417.375,278.325
On Time,366,546,295.2,208.8,547.2,396,271.2
On Time,327,474.6,272.4,212.85,571.8,414.225,284.475
On Time,393,550.2,321.6,240.3,613.2,476.55,300.45
On Time,315,462,267.6,209.25,538.2,410.625,266.475
On Time,378,543.9,304.2,229.275,617.7,449.4375,383.625
On Time,333,491.4,279.6,208.35,632.4,454.95,287.25
On Time,318,434.7,253.8,190.575,508.5,384.975,253.125
On Time,321,455.7,264.6,195.525,529.5,398.3625,264.7875
On Time,312,438.9,256.2,191.475,512.1,379.2375,252.4125
On Time,312,449.4,259.2,194.4,525.6,387.9,261.3
On Time,324,449.4,258,192.15,510.6,387.675,275.25
On Time,381,533.4,301.2,228.15,585,424.575,293.925
On Time,318,441,254.4,189,504,374.4,253.2
On Time,351,516.6,288,218.7,579.6,436.95,278.85
On Time,333,491.4,280.8,207.9,553.2,437.85,292.35
On Time,312,445.2,255.6,191.25,511.8,382.725,257.175
On Time,327,449.4,255.6,192.15,505.8,376.875,245.625
On Time,327,455.7,256.2,193.275,512.1,379.2375,254.8125
On Time,339,485.1,281.4,201.825,557.1,403.3125,270.0375
On Time,360,516.6,302.4,228.6,628.8,464.4,313.2
On Time,351,491.4,278.4,237.6,715.2,478.8,296.4
On Time,327,457.8,258,202.05,531,402.525,264.975
On Time,360,516.6,306,228.15,597,519.75,326.85
On Time,363,535.5,300.6,220.725,601.5,445.1625,303.1875
On Time,366,514.5,349.2,236.25,591,450.225,292.875
On Time,318,453.6,255.6,193.05,511.8,384.525,257.775
On Time,348,491.4,288,207.9,541.2,477.9,297.3
On Time,345,476.7,286.2,218.025,559.5,409.6125,284.1375
On Time,381,533.4,288,219.6,597.6,423.9,286.5
On Time,450,642.6,367.2,280.8,734.4,554.4,370.8
On Time,327,445.2,253.2,193.05,511.8,379.125,257.175
On Time,369,495.6,273.6,212.4,554.4,416.7,337.8
On Time,342,491.4,307.2,228.6,638.4,462.6,287.4
On Time,369,506.1,283.8,212.625,578.7,416.8125,270.9375
On Time,336,476.7,267,196.425,537.9,419.5125,264.6375
On Time,348,474.6,280.8,237.6,744,482.4,298.8
On Time,360,487.2,288,203.4,566.4,433.8,275.4
On Time,402,560.7,321,231.975,630.9,479.5875,321.8625
On Time,330,462,265.2,198.45,519,396.225,265.275
On Time,321,447.3,261,200.475,536.1,409.8375,274.6125
On Time,318,443.1,264.6,195.525,531.9,410.0625,287.775
On Time,318,441,252,192.6,504,385.2,259.2
On Time,351,493.5,283.8,204.525,563.1,410.9625,282.1875
On Time,345,600.6,320.4,219.15,582.6,439.875,281.025
On Time,387,525,282,219.15,585,433.575,283.725
On Time,327,451.5,262.2,196.425,528.3,396.1125,259.2375
On Time,381,552.3,311.4,234.675,620.1,457.5375,298.9125
On Time,354,483,280.8,212.4,559.2,414.9,266.7
On Time,309,428.4,250.8,191.25,495,367.425,252.075
On Time,360,472.5,262.2,192.825,521.1,423.225,268.275
On Time,366,516.6,295.2,222.3,572.4,419.85,280.35
On Time,381,531.3,297,216.675,591.3,425.1375,286.9125
On Time,348,483,276,207,633.6,439.2,284.4
On Time,315,445.2,252,189,506.4,405,255
On Time,399,558.6,292.8,214.2,549.6,454.5,313.5
On Time,381,518.7,299.4,224.775,592.5,466.9875,306.8625
On Time,351,493.5,293.4,223.425,602.7,451.0125,285.9375
On Time,360,489.3,280.2,221.175,580.5,430.0875,298.1625
On Time,330,485.1,291,222.525,565.5,460.125,291.375
On Time,312,449.4,261.6,196.2,516,386.1,254.7
On Time,453,638.4,364.8,274.5,742.8,553.95,371.85
On Time,339,499.8,279.6,204.75,546.6,424.575,286.725
On Time,333,472.5,285,213.075,588.9,435.0375,293.8125
On Time,345,474.6,271.2,198,542.4,414,264
On Time,393,520.8,312,233.1,627.6,463.95,301.05
On Time,348,476.7,263.4,200.475,528.9,403.5375,268.9125
On Time,390,518.7,285,209.475,562.5,432.3375,291.7125
On Time,333,476.7,271.8,210.825,537.9,405.1125,279.0375
On Time,363,489.3,283.8,209.025,542.7,415.9125,269.4375
On Time,339,504,279.6,220.95,558.6,405.675,290.025
On Time,324,449.4,258,191.25,504.6,381.825,250.875
On Time,327,474.6,277.2,208.35,551.4,404.775,270.525
On Time,465,657.3,367.8,277.425,737.1,550.0125,368.1375
On Time,315,447.3,259.8,192.825,525.9,393.4125,257.1375
On Time,351,489.3,270.6,199.575,554.1,403.9875,265.4625
On Time,360,476.7,270.6,201.375,561.3,413.8875,275.9625
On Time,321,459.9,275.4,196.875,555.3,417.0375,287.8125
On Time,327,457.8,256.8,201.6,544.8,413.1,272.1
On Time,324,451.5,255,190.125,507.9,386.6625,259.6875
On Time,336,457.8,259.2,193.5,524.4,391.05,262.35
On Time,378,516.6,282,228.15,618.6,431.775,362.25
On Time,468,598.5,316.2,234.675,632.1,582.075,356.025
On Time,330,489.3,279,217.125,599.1,453.2625,298.6875
On Time,372,646.8,345.6,234,710.4,511.2,309.6
On Time,465,642.6,370.8,278.55,982.8,654.75,400.65
On Time,465,648.9,375,282.825,751.5,559.0125,366.3375
On Time,384,539.7,306.6,231.075,622.5,456.6375,317.8125
On Time,360,470.4,280.8,212.4,559.2,505.8,294.6
On Time,354,478.8,280.8,216,602.4,423.9,297.3
On Time,372,514.5,291,219.825,629.4,434.025,297.075
On Time,321,459.9,267,200.925,543.9,394.7625,262.3875
On Time,345,483,274.8,203.85,545.4,411.525,271.575
On Time,315,443.1,253.8,189.675,507.3,379.2375,259.6125
On Time,387,539.7,306.6,224.775,597.3,457.9875,372.525
On Time,318,443.1,257.4,196.425,523.5,387.1125,258.6375
On Time,321,441,254.4,192.6,516,386.1,252.3
On Time,330,464.1,277.2,201.15,529.8,391.275,261.225
On Time,366,506.1,280.2,206.775,671.4,483.975,313.725
On Time,372,531.3,305.4,230.625,597.9,454.6125,297.9375
On Time,339,472.5,269.4,205.425,549.9,409.6125,270.9375
On Time,345,478.8,282,209.25,574.2,436.725,284.775
On Time,456,642.6,372,282.6,753.6,766.8,446.4
On Time,312,441,253.2,193.5,502.8,381.15,255.45
On Time,381,535.5,306.6,230.175,599.7,462.4875,307.7625
On Time,312,443.1,255,188.325,510.3,382.1625,254.5875
On Time,330,474.6,278.4,206.1,616.8,441.9,282.9
On Time,339,483,267.6,203.85,528.6,401.625,269.475
On Time,312,436.8,250.8,184.95,486.6,362.475,240.825
On Time,384,546,306,225.45,612.6,470.925,305.775
On Time,315,441,256.8,191.7,512.4,384.75,257.85
On Time,330,470.4,271.2,206.1,570,433.35,286.05
On Time,330,462,259.2,191.7,517.2,388.35,259.05
On Time,351,480.9,274.2,211.725,565.5,426.2625,287.2875
On Time,318,451.5,257.4,194.625,543,398.025,258.675
On Time,333,491.4,278.4,213.3,579.6,438.75,291.45
On Time,315,436.8,252,187.2,496.8,382.5,255.9
On Time,384,537.6,298.8,227.25,619.8,459.225,301.875
On Time,393,543.9,318.6,240.075,641.7,456.6375,307.0125
On Time,312,445.2,247.2,185.4,499.2,378,255.6
On Time,342,485.1,279,208.125,558.3,418.1625,273.7875
On Time,318,455.7,263.4,206.55,529.8,422.55,269.25
On Time,468,642.6,370.8,275.85,735,552.825,365.475
On Time,378,535.5,370.8,260.55,657,568.35,337.05
On Time,375,510.3,298.2,221.625,588.3,429.4125,294.3375
On Time,465,655.2,370.8,275.85,747,551.925,374.775
On Time,393,554.4,312,284.4,712.8,501.3,329.1
On Time,372,520.8,280.8,220.5,586.8,443.25,282.15
On Time,459,653.1,371.4,277.875,732.9,544.8375,361.6125
On Time,375,525,297.6,218.7,565.2,435.15,296.25
On Time,327,455.7,262.2,209.25,531,388.125,261.375
On Time,333,468.3,263.4,196.875,531.3,391.8375,265.0125
On Time,330,451.5,255,190.125,510.3,385.7625,255.7875
On Time,351,485.1,281.4,205.425,557.1,408.7125,287.4375
On Time,351,491.4,331.2,224.1,567.6,439.65,300.15
On Time,360,535.5,318.6,234.675,624.9,470.1375,309.1125
On Time,333,499.8,278.4,205.2,537.6,417.6,274.8
On Time,459,651,370.8,384.3,1308,773.1,437.7
On Time,342,489.3,286.2,208.125,579.9,449.6625,283.0875
On Time,315,449.4,258,189.45,507,386.325,257.175
On Time,330,457.8,261.6,198,528,392.4,256.8
On Time,312,441,254.4,185.4,499.2,378,248.4
On Time,348,476.7,318,216.45,567,423.225,271.875
On Time,357,485.1,332.4,223.65,593.4,461.925,308.775
On Time,327,516.6,276,207.9,558,410.85,272.55
On Time,477,657.3,375,277.425,741.9,736.425,429.075
On Time,348,483,280.8,206.1,553.2,418.05,274.95
On Time,381,520.8,300,223.2,616.8,476.1,318.3
On Time,348,487.2,274.8,208.35,546.6,415.575,276.525
On Time,516,621.6,336,250.2,667.2,480.6,327
On Time,363,506.1,280.2,213.075,550.5,413.4375,304.425
On Time,387,539.7,306.6,224.775,585.3,421.0875,295.1625
On Time,390,558.6,306,220.95,611.4,475.875,302.625
On Time,453,632.1,371.4,281.475,737.7,555.6375,366.4125
On Time,327,462,280.8,200.7,562.8,419.85,287.55
On Time,318,447.3,270,197.55,527.4,420.75,271.05
On Time,381,663.6,441.6,284.4,667.2,496.8,319.2
On Time,348,466.2,280.8,202.5,555.6,408.15,274.05
On Time,396,499.8,273.6,206.1,526.8,438.3,273.3
On Time,342,459.9,259.8,200.925,543.9,401.9625,269.5875
On Time,348,483,273.6,207.9,546,415.35,274.05
On Time,345,476.7,271.8,202.725,548.7,414.5625,276.1875
