"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40","C41","C42","C43","C44","C45","C46","C47","C48","C49","C50","C51","C52","C53","C54"
38.872,39.5521,39.0422,39.2123,,39.3823,39.4842,40.3652,41.2088,41.2425,42.6516,44.6806,43.7186,42.5178,41.9147,45.2753,39.3823,39.3483,39.4162,39.62,38.497,39.2803,38.3263,39.5521,40.2299,42.4509,39.4162,42.8855,39.9591,42.6182,41.5116,40.7706,39.5521,41.6461,41.5789,42.384,41.3098,39.2463,39.9591,39.8913,39.6878,41.1078,38.1897,41.4444,39.0082,39.4842,40.8381,40.1961,40.7368,43.3525,40.568,41.2425,46.8197,47.3752
38.872,39.4162,38.7357,39.1443,,38.872,38.8379,40.0945,40.7706,40.8381,43.3525,45.934,43.6521,42.6516,42.0489,45.4402,39.8235,39.4162,39.62,39.7896,38.5993,39.2803,38.3946,39.6539,40.2299,42.4509,39.4842,42.8855,39.9591,42.6182,41.3435,40.7368,39.3823,41.5789,41.5116,43.019,41.5789,39.4502,39.8913,40.0945,39.8913,41.1751,38.2239,41.6461,39.1443,39.5521,40.973,40.3652,,43.5522,40.6693,41.5453,46.8851,47.4731
38.9061,39.62,38.9401,39.1103,,39.2803,39.3823,40.2638,41.2425,41.3771,43.8183,46.6232,44.1172,42.7853,42.116,45.5391,39.6878,39.5181,39.6878,39.7557,38.6675,39.4162,38.3946,39.7557,40.3314,42.4844,39.4842,42.8521,39.9929,42.7185,41.5789,40.9055,39.5521,41.6797,41.5116,42.7519,41.1751,39.4162,39.8913,39.9252,39.8235,41.1078,38.3605,41.6461,39.2463,39.6878,41.0741,40.5004,40.973,43.7186,40.973,42.116,47.2773,47.799
38.9401,39.5521,38.8039,39.2803,,38.8379,38.872,40.0268,40.7706,40.9392,44.0176,46.8524,43.918,42.7853,42.25,45.9997,39.7557,39.62,39.8235,40.0268,38.8039,39.4842,38.4629,39.7557,40.4328,42.4844,39.4162,42.9856,39.9591,42.6516,41.4108,40.7706,39.4502,41.6125,41.5789,43.0858,41.5789,39.8913,40.1622,40.0268,40.0945,41.3098,38.3946,41.6461,39.3483,39.7217,41.1751,40.5342,,43.7851,40.8381,41.7133,46.8851,47.6035
39.0422,39.7557,39.1443,39.3483,,39.3823,39.3483,40.3314,41.1751,41.3435,44.3162,47.0813,44.1836,42.9189,42.25,45.6379,39.8574,39.6878,39.8913,40.0607,38.872,39.4842,38.4629,39.8235,40.568,42.5178,39.4842,42.9523,39.9591,42.7519,41.6461,40.9392,39.62,41.7805,41.6461,43.0524,41.3771,39.6878,40.1622,40.2976,40.0945,41.6461,38.5652,41.7133,39.4502,39.8235,41.2761,40.6693,,43.8515,40.9055,41.7469,47.2447,47.799
38.9742,39.5181,38.9401,39.3143,,38.872,38.872,40.0945,40.8043,41.1414,44.2499,47.212,44.1504,43.0524,42.317,46.0655,39.9591,39.7217,39.8913,40.1622,38.872,39.5521,38.4629,39.8235,40.6018,42.5178,39.4842,42.9523,40.0268,42.685,41.4444,40.9055,39.4842,41.6461,41.6461,43.1191,41.7133,39.8913,40.1961,40.2638,40.1622,41.3771,38.5993,41.8476,39.5521,39.9591,41.3771,40.7706,,43.918,41.1414,41.9147,47.3426,47.8641
39.1443,39.5521,39.1443,39.1443,,39.3143,39.3483,40.2976,41.3098,41.3771,44.4488,47.2773,44.2168,43.1191,42.4509,45.9669,40.0607,39.7896,39.9929,40.1622,38.872,39.5521,38.5993,39.8913,40.568,42.5847,39.5181,43.019,40.0945,42.7853,41.5789,41.0404,39.5521,41.8476,41.7133,43.2191,41.7805,39.8913,40.2299,40.2976,40.2638,41.5116,38.7357,41.9147,39.6878,40.0268,41.4444,40.8718,,44.0508,41.1751,42.0824,47.5383,47.9292
39.0763,39.7557,39.0422,39.3483,,38.9401,38.9401,40.1622,40.8381,41.0404,44.5813,47.5057,44.1504,43.2191,42.5178,46.4921,40.6693,39.8574,40.1284,40.2976,38.9401,39.62,38.4287,39.9252,40.7706,42.6516,39.5521,42.9856,40.0945,42.7853,41.5789,40.973,39.4842,41.7805,41.6125,43.1858,41.8476,39.586,40.2976,40.2976,40.2299,41.2761,38.6675,41.9483,39.7557,40.0607,41.5116,40.9055,,44.1836,41.2425,42.0824,47.4405,48.0267
39.1443,39.8235,39.1443,39.4842,,39.2803,39.4502,40.4328,41.3435,41.5116,44.7137,47.6687,44.4819,43.3525,42.6516,46.5577,40.4328,39.9591,40.1622,40.399,39.1443,39.6878,38.5652,39.9591,40.8381,42.7185,39.5521,43.1191,40.1284,42.9189,41.7133,41.0404,39.62,41.9147,41.7805,43.2525,41.8476,39.8235,40.2976,40.3314,40.3652,41.5453,38.7698,41.9818,39.8235,40.1961,41.6125,40.973,41.5116,44.1836,41.2761,42.116,47.6361,48.0267
39.0422,39.9252,39.0763,39.2123,,39.0082,38.9401,40.2299,40.9055,41.0067,44.6475,47.7338,44.5151,43.4857,42.7185,46.1968,40.9392,40.0268,40.1622,40.6693,39.0763,39.7557,38.5311,39.9591,40.9055,42.685,39.62,43.0858,40.1961,42.9189,41.5789,40.973,39.62,41.8812,41.7133,42.5847,41.814,39.5521,40.2976,40.2299,40.1622,41.5453,38.8039,42.116,39.8574,40.2638,41.7133,41.0404,41.5453,44.2831,41.478,42.3505,47.6361,48.1243
39.0763,39.7557,39.2123,39.4842,,39.2803,39.5521,40.4328,41.3435,41.4444,44.7798,47.9292,44.5151,43.5855,,46.3281,40.5004,40.0268,40.2299,40.9055,39.1443,39.7896,38.6334,40.0268,40.9392,42.7853,39.7217,43.1191,40.1961,42.9856,41.7133,41.1078,39.6539,41.9818,41.7133,43.2858,41.9147,39.8913,40.399,40.3314,40.5004,41.5789,38.872,42.183,39.8235,40.3314,41.7805,41.1078,41.6461,44.3162,41.6461,42.4844,47.8641,48.449
39.0082,39.9591,39.0422,39.2803,,38.9401,38.9742,40.2299,40.973,41.3098,44.7467,48.0593,44.5813,43.7186,42.9189,46.5577,41.3771,40.0945,40.3652,40.8718,39.2463,39.7896,38.5993,40.1284,40.973,42.8521,39.7557,43.1525,40.3314,42.9189,41.5789,41.0404,39.5521,41.8476,41.7469,43.1858,41.8812,39.62,40.4328,40.3652,40.2976,41.5789,38.9061,42.2835,39.9252,40.3652,41.8476,41.1751,41.6797,44.4819,41.7133,42.7185,47.8641,48.5464
39.0422,39.9929,39.3143,39.5521,,39.3483,39.3483,40.3652,41.3771,41.6125,45.0112,48.0918,44.7137,43.7518,42.9523,46.6232,40.568,40.1622,40.4328,40.9055,39.2123,39.8913,38.5993,40.1622,40.8043,42.7853,39.8235,43.1858,40.2976,42.9189,41.7133,41.1751,39.7557,41.8812,41.7133,43.2525,41.8476,39.8913,40.4666,40.6355,40.4328,41.6461,38.872,42.2835,39.9929,40.399,41.9147,41.2761,41.7805,44.4819,41.7805,42.7853,47.9942,48.5788
39.0422,39.8235,39.0763,39.3483,,39.0082,38.872,40.1961,40.9055,41.2425,44.846,48.1893,44.4819,43.918,42.9856,46.8524,40.6018,40.2976,40.3652,40.9055,39.3143,39.9929,38.5993,40.0268,41.0741,42.8187,39.7896,43.1858,40.2976,42.8855,41.6125,41.0067,39.7217,41.8476,41.7133,43.3191,41.7133,39.8913,40.5004,40.6355,40.5004,41.7133,39.0082,42.2835,40.0268,40.4666,41.9483,41.3771,41.814,44.5482,41.8476,42.8187,47.9292,48.6436
39.1103,39.9591,39.3483,39.3483,,39.4162,39.2803,40.3652,41.3771,41.5453,45.0112,48.3192,44.7798,44.0176,43.1191,46.7869,41.4444,40.2976,40.4666,41.1078,39.4162,39.9929,38.6675,40.2299,41.0741,42.8855,39.8235,43.2191,40.3314,42.9856,41.7133,41.2088,39.8235,41.8476,41.7133,43.2525,41.9483,40.0268,40.568,40.6018,40.568,41.7469,39.0422,42.384,40.0945,40.5004,42.0154,41.4108,41.8476,44.7137,41.8812,42.8521,47.9617,48.7084
39.0422,39.9929,39.0422,39.2803,,38.9742,38.9401,40.2299,41.0067,41.1751,44.9782,48.2867,44.7137,44.1172,43.1191,47.114,40.8718,40.3314,40.1622,41.1751,39.3483,40.0268,38.5993,40.1284,41.1414,42.9189,39.8913,43.2191,40.3652,42.9856,41.6461,41.1078,39.6878,41.8476,41.7133,43.2525,41.7133,40.1622,40.5342,40.6355,40.6355,41.8476,39.0763,42.4509,40.1284,40.568,42.0824,41.4108,41.9483,44.6475,41.9818,42.8187,48.0593,48.7732
39.1443,40.0945,39.2123,39.4162,,39.3483,39.3483,40.3652,41.4108,41.4444,45.1763,48.2867,44.846,44.0176,43.1858,47.0159,40.7706,40.3314,40.5004,41.1751,39.4842,40.0268,38.7357,40.0945,40.973,42.9189,39.6878,43.2525,40.2976,43.1191,41.7133,41.1751,39.8235,41.9147,41.7469,43.2191,42.116,40.0945,40.568,40.6355,40.5004,41.7805,39.1783,42.5178,40.1961,40.6693,42.1495,41.5116,,44.7137,41.9818,42.9856,48.2218,48.8056
39.0763,40.0268,39.1443,39.2803,,39.0422,38.9401,40.2299,40.9392,41.1414,45.1103,48.4815,44.6475,44.0508,43.1525,47.0159,41.7469,40.399,40.568,41.3771,39.4162,40.1284,38.7357,40.1284,41.1078,42.9523,39.7557,43.2525,40.3652,43.019,41.7133,41.1078,39.62,41.8476,41.7133,43.2525,42.0489,40.2299,40.6018,40.7031,40.7031,41.8476,39.2123,42.5178,40.2976,40.7031,42.183,41.5116,,44.8129,41.9818,42.9523,47.9942,48.7084
39.1443,40.0945,39.2803,39.2123,,39.4162,39.4162,40.399,41.3771,41.4444,45.2093,48.449,44.6475,44.1172,43.2525,47.2773,40.9055,40.4666,40.7031,41.4444,39.5521,40.1622,38.7357,40.1284,41.2088,42.9189,39.8235,43.2525,40.3652,43.0524,41.7469,41.1751,39.8913,42.0154,41.7469,43.2525,42.0824,39.9929,40.6355,40.5004,40.5004,41.8812,39.4162,42.6516,40.3314,40.8043,42.25,41.5789,,44.9121,42.0489,42.9856,48.0593,48.7732
39.1783,40.0607,39.3483,39.2123,,39.0082,38.9401,40.2299,41.0067,41.3098,45.1763,48.5139,44.6475,44.2831,43.3858,47.2773,41.0067,40.6018,40.7031,41.5116,39.62,40.2976,38.8039,40.2638,41.1751,42.9856,39.8235,43.2858,40.3652,43.0524,41.7133,41.1414,39.7896,41.9147,41.7469,43.2858,42.0489,40.0945,40.7031,40.7706,40.7706,42.0489,39.3823,42.7519,40.4666,40.9392,42.384,41.7805,,45.0442,42.2165,43.1191,48.449,48.9675
39.1443,40.1622,39.3143,39.4502,,39.4162,39.4842,40.4666,41.4444,41.5789,45.3083,48.4815,44.9782,44.3825,43.4524,47.4079,,40.6355,40.8381,41.6125,39.7557,40.2976,38.872,40.3314,41.2425,42.9523,39.8574,43.3858,40.4328,43.1525,41.9147,41.3098,39.9929,42.0489,41.8476,43.2525,42.183,40.0268,40.7031,40.7031,40.7368,42.0489,39.5181,42.8855,40.6018,41.0404,42.5178,41.9147,,45.1763,42.4509,43.3191,48.449,49.0969
39.1443,39.9252,39.3483,39.2803,,39.0763,39.0082,40.2976,41.1078,41.3098,45.2423,48.676,44.7137,44.4488,43.519,47.799,40.1961,40.7031,40.973,41.5116,39.7217,40.4328,38.8379,40.3652,41.3435,43.1525,39.7557,43.3858,40.4328,43.1525,41.8476,41.2425,39.9252,41.9818,41.7805,43.3191,42.0489,40.1622,40.8381,40.9055,40.8381,42.25,39.5521,42.7853,40.6355,41.0404,42.5513,41.8476,,45.2093,42.25,43.1858,48.2543,48.8056
39.1783,40.1622,39.4162,39.5181,,39.5521,39.4842,40.5004,41.4444,41.7805,45.5061,48.449,45.1103,44.2499,43.4524,46.9178,40.7368,40.7031,41.1078,41.5789,39.6539,40.4666,38.872,40.4328,41.3435,43.1525,39.9929,43.4191,40.4328,43.1525,41.9147,41.3435,39.8913,42.116,41.8812,43.3858,42.0824,40.3652,40.7368,40.8381,40.9055,42.5847,39.5521,42.9189,40.568,41.1078,42.5847,41.9147,,45.3083,42.317,43.2191,48.1893,48.8056
39.2123,40.3314,39.4502,39.3823,,39.0763,39.0763,40.2976,41.1078,41.3098,45.3083,48.6112,44.7798,44.3825,44.1172,46.4265,41.2425,40.8381,41.0404,42.0489,39.7557,40.5004,38.9401,40.3652,41.3098,43.1525,39.9591,43.3858,40.5342,43.1525,41.7805,41.2425,39.7217,42.0489,41.8812,43.3858,42.384,40.2299,40.9055,40.973,40.973,42.4174,39.7557,42.9856,40.7706,41.2761,42.7185,42.0489,,45.3083,42.4509,43.4191,48.3841,49.0322
39.2803,40.3652,39.5521,39.62,,39.586,39.4842,40.568,41.5116,41.7133,45.5391,48.6436,45.0442,44.5813,43.7851,47.0813,42.25,40.9055,41.1751,41.7133,39.9591,40.568,39.0082,40.5004,41.4444,43.2191,39.7896,43.519,40.5004,43.3191,42.0489,41.4444,40.0607,42.183,41.9818,43.4857,42.317,40.5004,40.973,41.1078,41.1078,42.685,39.6878,42.9856,40.7368,41.2425,42.7185,42.0154,42.6182,45.3413,42.384,43.1525,48.1893,48.9027
39.2463,40.2976,39.4842,39.3483,,39.1103,39.0763,40.2976,41.1078,41.3771,45.3083,48.5788,44.9121,44.4819,43.6188,47.4079,41.9818,40.9055,41.1751,41.5116,39.8913,40.568,39.0422,40.5342,41.4444,43.2191,39.9591,43.4524,40.5004,43.2525,41.8476,41.3771,39.9252,42.116,41.9483,43.4857,42.2835,40.3652,40.9055,40.8718,40.8381,42.7185,39.7217,43.0524,40.5342,41.1751,42.685,41.8812,42.5513,45.2423,42.25,42.9856,47.8315,48.5788
39.4502,40.2976,39.5521,39.5521,,39.5521,39.5521,40.568,41.5116,41.6461,45.3413,48.5464,45.0112,44.3825,43.6188,47.2773,41.2088,40.9055,41.1751,41.5789,39.8913,40.6018,39.0763,40.5342,41.5116,43.2191,40.1284,43.519,40.568,43.2858,41.9818,41.3771,40.0945,42.116,41.9147,43.4524,42.2835,40.7031,41.0067,41.0741,41.1078,42.8521,39.7557,43.0524,40.568,41.2425,42.7519,41.9147,42.5847,45.2423,42.25,42.8521,47.8966,48.3841
39.2803,40.3652,39.4842,39.3823,,39.1783,39.0763,40.3314,41.0067,41.3098,45.3083,48.5139,44.7467,44.5151,43.6521,47.7013,41.3771,40.9055,41.2425,41.7133,39.8913,40.6355,39.1443,40.5342,41.478,43.3191,40.0607,43.4524,40.568,43.1191,41.9147,41.3435,39.9591,42.1495,41.9818,43.4191,42.317,40.4328,40.9055,41.0067,41.0404,42.8521,39.7896,43.1191,40.6693,41.3435,42.7853,42.0489,42.685,45.3083,42.3505,43.0524,47.9292,48.5139
39.3143,40.1622,39.5521,39.4842,,39.1443,38.8039,40.5004,40.9055,41.1078,45.3083,48.449,44.1172,44.3494,,47.0813,41.5789,40.8718,41.1414,41.8476,39.9591,40.5342,39.1443,40.4666,41.3771,43.1858,40.0268,43.4191,40.568,43.1191,41.9483,41.3435,40.0268,42.116,41.7805,43.2525,42.2835,40.568,40.973,41.0404,41.1078,42.8187,39.8235,43.0524,40.7031,41.3098,42.7853,42.0489,,45.3083,42.25,42.9523,48.0267,48.4815
38.872,40.1284,39.2123,38.9401,,38.258,37.9845,39.8574,39.9929,40.1284,44.6144,47.6687,43.7851,43.5855,42.4844,45.6379,41.3771,40.3652,40.568,41.6125,39.2123,39.5521,38.872,39.7896,40.5004,42.2165,39.5521,42.7519,40.2299,42.6516,41.5789,41.0404,39.6878,41.5789,41.5116,42.8855,42.0154,40.1284,40.8043,40.7706,40.7706,42.1495,39.6878,42.8187,40.6355,41.3098,42.5847,41.9147,42.384,45.0773,42.183,42.7185,47.7338,48.2867
38.8379,39.9591,39.0763,39.0763,,38.8379,38.8379,39.9591,40.6355,41.0067,44.5151,47.31,44.1504,42.8855,,44.3162,39.7557,40.0268,39.6539,41.3771,38.0187,36.9559,38.0187,38.0529,38.872,41.1078,39.1103,41.3435,39.586,41.6125,41.0741,40.568,39.3143,40.973,41.2088,42.4174,41.8476,39.8235,40.5004,40.2976,40.2976,41.5789,39.5521,42.317,40.4666,41.2425,42.4509,41.814,,44.6806,42.0489,42.5847,47.4731,47.9617
38.6675,39.7557,38.8039,38.872,,38.497,38.5311,39.5521,40.1622,40.4328,44.2499,46.0655,44.1836,42.116,,41.1078,37.9845,39.5521,38.5652,40.8381,36.8183,35.9221,36.8871,36.8871,37.9161,39.5521,38.3263,39.9929,38.7357,40.2299,40.1622,40.0945,38.9401,40.3652,40.8381,,41.478,39.1443,40.0945,39.8235,39.7217,41.0741,39.0763,41.9818,40.2638,41.2088,42.183,41.7133,,44.3825,42.0489,42.5178,47.7013,47.9617
38.5311,39.6539,38.497,39.0422,,38.8039,39.0082,39.7217,40.4328,40.6355,44.2499,45.4402,44.0176,41.2761,,39.3483,36.0603,38.9401,37.162,40.7031,35.7148,34.9875,36.0603,35.3687,36.7151,38.7698,37.2993,38.3946,37.8819,39.1443,39.3483,39.1103,38.3946,39.3483,40.4328,40.2976,40.7706,37.9845,39.62,38.9401,38.5652,40.1622,38.2922,41.1751,39.9591,41.0404,41.8812,41.5453,,44.084,41.9818,42.317,47.4731,47.7013
38.0529,39.4162,38.1555,38.9061,,38.5652,38.5993,39.4162,39.9591,40.3314,44.0176,45.3413,44.3162,40.7706,39.5521,37.9845,33.9093,37.8134,36.2673,40.568,34.8834,34.0487,35.3687,33.7698,35.3687,37.0246,36.3362,36.4052,37.0246,37.2993,38.3263,37.6765,37.7107,37.8477,39.4842,39.3143,40.3652,37.265,38.872,37.9845,38.1897,39.2123,37.4365,40.399,39.62,40.9392,41.478,41.4108,,43.7851,41.9483,42.25,47.3426,47.6687
37.5394,39.2803,38.0871,38.8039,,38.8039,38.872,39.5181,40.1622,40.4328,43.8515,44.6144,43.918,40.0268,,37.1963,33.8047,37.0246,35.8876,40.568,34.188,32.5452,34.6055,32.7907,34.536,35.7148,35.7148,35.1262,36.1983,35.7839,37.2993,36.4741,37.0246,36.8183,38.3263,38.0529,39.5521,36.4741,38.3946,36.9559,37.4365,38.1555,36.6463,39.5181,39.2123,40.9055,40.9055,41.2088,41.0404,43.3858,41.8476,42.0824,46.8197,47.2773
36.7495,38.8039,37.745,38.4629,,38.5993,38.5993,39.3143,39.6878,40.1284,43.4524,44.2831,43.6853,39.3483,38.0529,36.543,33.2808,36.4396,35.3687,40.5004,33.6302,31.8072,34.3273,31.6312,33.2108,34.3969,34.8139,33.8396,35.2995,34.536,36.4052,35.1609,36.543,35.5764,37.2993,36.8871,38.8039,35.3687,37.745,36.4052,36.8183,37.6422,36.0603,39.2123,38.7357,40.7031,40.4328,41.0067,,43.0524,41.4444,41.8476,46.2297,46.8197
36.1983,38.0529,37.3679,38.258,,38.5652,38.6675,39.2803,39.8913,40.2638,43.5855,44.1172,43.4191,38.9742,,35.8876,32.7557,36.0603,34.536,40.568,33.0359,31.208,34.0487,30.7486,32.3698,33.5604,33.8396,32.9308,34.536,33.4905,35.4034,34.536,35.7148,34.675,36.4741,36.4052,38.1897,33.6302,36.8183,35.5418,36.2328,36.6118,35.2995,38.5652,38.4629,40.5342,39.8235,40.9055,,42.5178,41.3098,41.6461,45.9011,46.4593
35.3687,37.4365,36.8183,37.745,,38.1897,38.3263,38.9401,39.5521,39.8235,43.2525,43.7186,43.1191,38.4287,37.0246,35.2302,,35.611,34.188,40.5342,32.7206,30.6071,33.6302,29.9336,31.3139,32.5803,33.1409,31.948,33.6302,32.6505,34.6403,33.5604,34.8139,33.4556,35.5764,35.4034,37.5051,32.8608,36.1983,34.536,35.4726,35.8185,34.536,38.1897,37.8477,39.8913,39.4162,40.5004,,42.0489,40.8043,41.2425,45.1763,46.0655
34.536,36.9559,36.4052,37.2307,,38.0529,38.0187,38.7016,39.8913,40.0945,43.2525,43.4857,42.6516,37.7107,36.7839,34.8139,31.5254,35.2995,33.4905,40.6693,32.3346,30.1465,33.2108,29.2938,30.4655,31.5959,32.3698,30.9961,32.8608,31.772,33.9093,32.6855,34.0139,32.9308,34.9875,34.188,36.7839,32.0183,35.5072,34.188,35.0222,35.6456,33.9442,38.0529,37.5051,39.8235,39.0763,40.4666,,41.9147,40.7031,41.4108,45.7366,46.0655
34.1184,36.4396,35.7839,36.6807,,37.6422,37.7107,38.3946,39.4162,39.7217,43.1525,43.3191,42.685,37.4365,36.1983,34.536,31.772,34.8487,33.5604,40.7031,32.0887,29.7561,32.7206,28.8305,29.6139,30.9608,31.6664,30.1111,32.2995,30.9254,33.2808,31.948,33.6651,32.3346,34.536,33.7,36.0603,31.5607,34.536,33.2108,34.536,35.7148,33.3158,37.6422,36.9559,39.1103,38.5993,39.9591,,41.5116,40.5004,41.2761,45.6379,46.0655
33.4206,36.1983,35.5764,36.3362,,37.4708,37.3679,38.1897,39.4842,39.62,43.3858,43.0524,42.384,37.0933,36.1293,34.0139,31.6664,34.7445,33.3158,40.5342,31.8072,29.3293,32.2995,28.2948,29.1157,30.3238,31.0314,29.1869,31.5959,30.0756,32.3698,31.6664,32.8608,31.1727,33.6302,33.1409,35.1955,30.3947,34.4317,33.1059,34.0487,35.2648,32.5102,37.2307,36.6807,38.7016,38.1897,39.6878,,41.1078,40.2299,40.973,45.2753,45.9011
33.0359,35.6456,35.0222,35.9221,,37.1277,36.9902,37.9161,38.9401,39.2803,43.1525,42.7853,41.8812,36.8871,35.7839,33.8744,31.4549,34.536,33.1409,40.3652,31.4549,28.9018,31.7368,27.8294,28.5092,29.5428,30.3947,28.6877,30.9254,29.3293,31.8072,30.8901,32.3698,31.1374,33.4905,32.7557,34.9528,30.0401,33.4905,32.0183,33.4905,34.4664,31.8776,36.9559,36.3018,38.2922,37.6765,39.3483,,40.6018,39.7217,40.7031,44.7467,45.572
32.5102,35.3687,34.8834,35.438,,36.7839,36.5774,37.6765,38.8039,39.2803,43.4524,42.5178,41.5116,36.6118,35.6802,33.6302,31.3844,34.6055,33.0359,40.0945,31.4197,28.8305,31.3844,27.5426,28.1159,29.3293,29.8271,28.259,30.4301,28.7591,31.2786,30.4655,31.9832,30.4655,33.0009,31.948,34.536,29.2581,33.4905,31.5254,33.1059,34.1184,31.5607,36.5774,35.7148,37.8477,37.059,39.0082,,40.0945,39.5521,40.3652,44.3825,45.3413
