v1,v2
No spam,Dear good morning now only i am up
No spam,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
No spam,Dear we are going to our rubber place
No spam,"Sorry battery died, yeah I'm here"
No spam,Yes:)here tv is always available in work place..
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
No spam,I have printed it oh. So  &lt;#&gt;  come upstairs
No spam,Or ill be a little closer like at the bus stop on the same street
No spam,Where are you?when wil you reach here?
No spam,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
No spam,Tomarrow final hearing on my laptop case so i cant.
No spam,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
No spam,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
No spam,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
No spam,U don't remember that old commercial?
No spam,Too late. I said i have the website. I didn't i have or dont have the slippers
No spam,I asked you to call him now ok
No spam,Kallis wont bat in 2nd innings.
No spam,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
No spam,Ranjith cal drpd Deeraj and deepak 5min hold
No spam,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
No spam,What you doing?how are you?
No spam,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
No spam,"I'm back, lemme know when you're ready"
No spam,Don't necessarily expect it to be done before you get back though because I'm just now headin out
No spam,Mmm so yummy babe ... Nice jolt to the suzy
No spam,Where are you lover ? I need you ...
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
No spam,I���m parked next to a MINI!!!! When are you coming in today do you think?
No spam,Yup
No spam,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
No spam,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
No spam,Why you Dint come with us.
No spam,Same. Wana plan a trip sometme then
No spam,"Not sure yet, still trying to get a hold of him"
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
No spam,The evo. I just had to download flash. Jealous?
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
No spam,"Come to mu, we're sorting out our narcotics situation"
No spam,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
No spam,"Usf I guess, might as well take 1 car"
No spam,No objection. My bf not coming.
No spam,Thanx...
No spam,Tell rob to mack his gf in the theater
No spam,"Awesome, I'll see you in a bit"
No spam,Just sent it. So what type of food do you like?
No spam,All done? All handed in? Celebrations in full swing yet?
No spam,You got called a tool?
No spam,\Wen u miss someone
No spam,Ok. I asked for money how far
No spam,Okie...
No spam,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
No spam,"K, I might come by tonight then if my class lets out early"
No spam,Ok..
No spam,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
No spam,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
No spam,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
No spam,Hey you told your name to gautham ah?
No spam,Haf u found him? I feel so stupid da v cam was working.
No spam,Oops. 4 got that bit.
No spam,Are you this much buzy
No spam,I accidentally deleted the message. Resend please.
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
No spam,Unless it's a situation where YOU GO GURL would be more appropriate
No spam,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
No spam,I cant pick the phone right now. Pls send a message
No spam,Need a coffee run tomo?Can't believe it's that time of week already
No spam,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
No spam,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
No spam,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
No spam,He is a womdarfull actor
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
No spam,Yup... From what i remb... I think should be can book... 
No spam,Jos ask if u wana meet up?
No spam,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
No spam,Where are the garage keys? They aren't on the bookshelf
No spam,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,"Think ur smart ? Win �200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
No spam,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
No spam,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
No spam,You made my day. Do have a great day too.
No spam,K.k:)advance happy pongal.
No spam,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
No spam,"Not really dude, have no friends i'm afraid :("
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
No spam,"Coffee cake, i guess..."
No spam,"Merry Christmas to you too babe, i love ya *kisses*"
No spam,Hey... Why dont we just go watch x men and have lunch... Haha 
No spam,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
No spam,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
No spam,No problem. How are you doing?
No spam,No calls..messages..missed calls
No spam,Hi da:)how is the todays class?
No spam,"I'd say that's a good sign but, well, you know my track record at reading women"
No spam,"Cool, text me when you're parked"
No spam,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
No spam,K.k:)apo k.good movie.
No spam,Maybe i could get book out tomo then return it immediately ..? Or something.
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
No spam,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
spam,Valentines Day Special! Win over �1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
No spam,"Ta-Daaaaa! I am home babe, are you still up ?"
No spam,Cool. So how come you havent been wined and dined before?
No spam,Just sleeping..and surfing
No spam,"Sorry, I'll call later"
No spam,U calling me right? Call my hand phone...
No spam,Ok that's great thanx a lot.
No spam,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
No spam,Where u been hiding stranger?
No spam,Am not interested to do like that.
No spam,My sister cleared two round in birla soft yesterday.
No spam,Gudnite....tc...practice going on
No spam,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
No spam,One small prestige problem now.
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
No spam,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
No spam,"Nah can't help you there, I've never had an iphone"
No spam,If you're not in my car in an hour and a half I'm going apeshit
No spam,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
No spam,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
No spam,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
No spam,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
No spam,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
No spam,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
